지점명,주소,lat,lng
강릉교동택지점,강원도 강릉시 교동 1882-4,37.7638966,128.8775597
강릉중앙점,강원 강릉시 경강로 2092-1,37.7544566,128.8960582
강원대점,강원 춘천시 서부대성로 239,37.8729234,127.7444832
동해천곡점,강원 동해시 천곡동 850외 1필지 104호,37.5228278,129.1146216
속초엑스포점,강원 속초시 엑스포로1길 39,38.1904722,128.5857096
원주무실점,"강원 원주시 능라동길 48, 씨네프라자 114호",37.3343639,127.9299490
춘천석사점,강원도 춘천시 석사동 888-4,37.8511242,127.7448875
NC평촌점,경기 안양시 동안구 동안로119 범계뉴코아 지하2층 푸드코트,37.3891932,126.9515747
고양삼송점,경기 고양시 덕양구 동송로 30 112호,37.6502476,126.8972952
과천별양점,경기 과천시 별양상가로 7 1층 111호,37.4280075,126.9929622
광교아브뉴프랑점,"경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 1층, A113",37.2907368,127.0504529
광명하안점,경기도 광명시 하안동 34-11,37.4621121,126.8782611
구리돌다리점,경기도 구리시 검배로13,37.5999381,127.1421785
김포걸포점,"경기 김포시 걸포2로 83, c1블록 154호",37.6331164,126.7010504
김포구래점,경기도 김포시 구래동 6883-9 다온프라자 107호,37.6439584,126.6260711
김포풍무점,경기 김포시 풍무로 125,37.6068792,126.7222947
남양주다산지금점,경기도 남양주시 다산지금로 130,37.6014671,127.1735875
남양주다산진건점,경기 남양주시 다산중앙로 123번길 22-26,37.6248697,127.1524234
남양주별내점,"경기 남양주시 별내동 1016-1,105호",37.6473298,127.1238946
다산도농점,경기도 남양주시 미금로 235,37.6114071,127.1644051
동탄나루마을점,경기 화성시 동탄솔빛로 58,37.1937529,127.0740460
동탄북광장점,경기 화성시 동탄 반석로 204,37.2066808,127.0728200
동탄역점,경기도 화성시 동탄대로 489,37.1973592,127.0982637
동탄영천점,"경기 화성시 영천동 681-6,102호",37.2067557,127.1114139
동탄호수점,경기 화성시 동탄대로 181,37.1713447,127.1048679
롯데몰수지점,경기도 용인시 수지구 성복동 61-7,37.3130315,127.0810943
리빙파워센터기흥점,경기 용인시 기흥구 신고매로 62,37.2226261,127.1161827
미사점,경기도 하남시 망월동 1077 센트럴파크I (1층102호),37.5666101,127.1883604
벨라시타점,"경기도 고양시 일산동구 강송로 33, 지하층 일부호",37.6429789,126.7932556
부천상동점,"경기도 부천시 상동로 105, 101호",37.5066959,126.7527977
부천시청점,경기 부천시 석천로177번길 29,37.5032504,126.7614046
부천신중동점,경기도 부천시 중동 1062-4 로얄프라자 108호,37.5035009,126.7768005
부천역점,경기 부천시 심곡동 174-3,37.4852730,126.7817731
산본로데오점,경기 군포시 산본동 1137-2 여명프라자 104호,37.3597410,126.9304724
성남 위례점,경기 성남시 수정구 위례광장로 310 우성트램타워 A동 103호,37.4727085,127.1429284
성남서현점,경기 성남시 분당구 황새울로342번길 19,37.3866199,127.1242916
송탄출장소점,경기 평택시 관광특구로 38 1층,37.0664367,127.0629415
수원망포점,경기 수원시 영통구 태장로 84,37.2389740,127.0555208
수원역점,경기 수원시 팔달구 향교로 23,37.2684706,127.0035865
수원영통구청점,경기 수원시 영통구 효원로 400,37.2580632,127.0453787
수원영통역점,경기 수원시 영통구 영통동 958-1,37.2559360,127.0746960
수원인계점,경기 수원시 팔달구 권광로 184,37.2638833,127.0334375
수지구청역점,경기 용인시 수지구 수지로296번길 51-8,37.3215518,127.0951095
시흥은계점,"경기 시흥시 은계번영길 19, 106호",37.4372784,126.8030194
아주대점,경기 수원시 영통구 원천동 22-1,37.2778145,127.0440537
안산고잔점,경기 안산시 단원구 광덕대로 174,37.3119296,126.8310371
안산중앙점,경기 안산시 단원구 고잔동 534-3,37.3186634,126.8365123
앨리웨이광교점,경기 수원시 영통구 광교호수공원로 80,37.2739774,127.0612197
양주옥정점,"경기 양주시 옥정동로7다길 12-13, 119호",37.8192843,127.0933830
여주신세계아울렛점,경기 여주시 명품로 360 신세계프리미엄아울렛여주,37.2458827,127.6122784
